VendorNumber,Brand,ActualPrice,PurchasePrice,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost
480,973,19.99,11.9,8635,129438.65,78322.75,6806.25,135572125,1674315978.4,8482195.65
480,974,15.49,12.29,2695,40783.05,25722.95,2829.75,44239325,546355740.32,2767874.37
480,1020,28.99,18.11,2860,72571.4,53329.1,2255.55,54228850,669726391.36,3392878.2600000002
480,1047,45.99,35.38,330,15176.7,7588.35,260.15,4281225,52873136.160000004,267858.81
480,1099,45.99,33.33,7590,349064.10000000003,202356.0,5978.5,114166000,1409950297.6000001,7142901.6
480,1106,249.99,155.55,2090,520279.10000000003,286538.45,1647.8,29968575,370111953.12,1875011.67
480,1330,49.99,38.27,147950,7525710.5,3293250.95,271882.6,1671104825,20638147481.12,104554222.17
480,1414,23.99,14.28,1925,47830.75,17592.85,1516.35,18551975,229116923.36,1160721.51
480,1757,159.99,116.78,990,158390.1,87994.5,780.45,14270750,176243787.20000002,892862.7
480,2123,79.99,57.96,23705,1896162.95,1412223.45,18691.2,458091075,5657425569.12,28660892.67
480,2184,19.99,11.36,29425,441960.75,209465.85,23188.55,361049975,4458967816.16,22589426.31
480,2200,19.99,10.78,27115,408048.85,207707.5,21374.65,356768750,4406094680.0,22321567.5
480,2258,16.99,9.77,266750,3650102.5,2587747.8,104566.0,4857763300,59993385162.880005,303930463.08
480,2329,54.99,38.45,33660,1636573.4000000001,1399847.35,26553.45,746360225,9217550070.56,46696719.21
480,2502,34.99,26.92,5390,188596.1,121240.35,4249.85,89905725,1110335859.3600001,5625035.01
480,2611,54.99,39.99,22825,1061216.75,873050.75,18003.15,478070125,5904166871.2,29910900.45
480,2614,59.99,41.21,15895,885176.05,687651.25,29227.0,321091875,3965485212.0,20089410.75
480,2622,26.99,18.65,81345,2113936.55,1664761.45,64155.85,1656834075,20461903693.920002,103661359.47
480,2624,64.99,46.76,35420,2351445.8,1994824.7,27947.15,779182950,9622910781.12,48750303.42
480,2628,31.99,23.43,195085,6194679.149999999,4911827.25,153827.85,4002945375,49436382309.6,250447987.35
480,2643,184.99,136.02,330,61046.700000000004,61046.700000000004,260.7,8562450,105746272.32000001,535717.62
480,2663,29.99,21.42,3856710,120415282.9,27277680.65,7086149.399999999,21715800275,268190170982.24,1358669170.59
480,2665,19.99,15.38,1049840,22025361.599999998,11839443.549999999,826873.3,14469113425,178693575842.08002,905273491.53
480,2668,13.99,10.68,305305,4112706.95,3234246.4,119557.35,6210630400,76701296189.44,388573847.04
480,2672,2.29,1.8,1225180,2805662.2,895126.65,63642.700000000004,10142222025,125256459563.04001,634557520.89
480,2679,22.99,14.28,129140,2567208.5999999996,1688372.4,101801.7,2186278900,27000548199.04,136786565.64
480,2742,53.99,37.98,48455,2351865.45,1996914.1500000001,38220.6,1066025025,13165410903.84,66696843.69
480,2863,44.99,34.34,13640,637588.6,575451.8,10765.7,319664800,3947860833.28,20000124.48
480,2916,63.99,47.05,8965,589895.35,582856.45,7081.25,229759075,2837524973.92,14375089.47
480,2933,48.99,38.88,18040,912654.6,779471.0,14234.550000000001,399581000,4934826041.6,25000155.6
480,3016,19.99,14.59,298155,6237538.449999999,4331723.55,234997.95,5335833425,65897552034.08,333841363.53000003
480,3139,23.99,17.64,122100,2993804.0,2088022.7499999998,96246.7,2204830875,27229665122.4,137947287.15
480,3144,0.99,0.78,660,653.4,108.9,34.65,2854150,35248757.44,178572.54
480,3185,46.99,35.33,15400,723646.0,509136.65,28311.25,281133775,3472002607.84,17589395.19
480,3194,23.99,18.31,211530,5186254.7,3549084.0,166744.05000000002,3738936500,46175872246.4,233930027.4
480,3199,46.99,34.3,14300,671957.0,426434.25,26288.9,235467375,2908022488.8,14732234.55
480,3341,34.99,25.17,440,15395.6,15395.6,347.6,11416600,140995029.76,714290.16
480,3343,12.49,9.46,402985,5234775.15,3919472.7,157894.0,7828933450,96687341657.92,489824477.22
480,3344,19.99,14.49,1354100,28421899.0,12991313.499999998,1066353.75,15740637250,194396897281.6,984827558.1
480,3345,2.29,1.54,1081190,2151568.1,789900.65,56075.8,10299200275,127195141222.24,644379010.59
480,3348,29.99,22.38,3128840,97151511.6,25304837.25,5748849.7,20414307875,252116737589.6,1277240092.35
480,3415,18.99,14.39,275,5222.25,5222.25,217.25,7135375,88121893.60000001,446431.35
480,3436,26.99,18.79,665170,17203948.3,10012136.2,1222410.75,10012358200,123652641099.52,626432470.32
480,3437,19.99,13.84,244475,4550785.25,3611893.9999999995,192775.0,5023304000,62037813094.4,314287670.4
480,3460,58.99,41.04,30140,1688638.6,1517509.4000000001,23784.75,702120900,8671194330.24,43928844.84
480,3461,49.99,39.99,770,38492.3,24745.05,607.2,12843675,158619408.48,803576.43
480,3472,16.99,11.1,132110,2339093.9,1781546.2499999998,104168.35,2604411875,32164491164.0,162947442.75
480,3475,29.99,22.38,715,21442.85,13195.599999999999,563.75,11416600,140995029.76,714290.16
480,3611,14.99,5.5,1650,24733.5,2473.35,649.55,4281225,52873136.160000004,267858.81
480,3613,89.99,67.66,1760,158382.4,123736.25,1387.1000000000001,35676875,440609468.0,2232156.75
480,3615,18.99,11.02,9735,136192.65,42319.75,7667.55,78489125,969340829.6,4910744.85
480,3778,46.99,34.3,11495,540150.05,405758.65,21132.65,224050775,2767027459.04,14017944.39
480,3782,23.99,18.89,416460,10251382.9,6652583.3,328147.05,6984105050,86253709455.68001,436967005.38
480,3830,23.99,18.45,352000,8668550.0,5565342.199999999,277351.8,5845299200,72189455237.12,365716561.92
480,3831,3.79,2.89,287045,1145309.55,532385.7000000001,14754.300000000001,3462083950,42756742774.72,216608491.02
480,3847,3.79,2.81,1188330,4741436.7,1734532.8,61553.25,11279600800,139303089402.88,705718678.08
480,3851,15.99,12.02,1120350,16676401.5,7223008.65,440153.45,11926065775,147286932963.04,746165358.39
480,3857,49.99,38.27,1811975,93481825.25,32402578.450000003,3329338.65,16013208575,197763153617.12,1001881235.67
480,3858,23.99,17.77,7802300,186115182.0,24581264.95,6143455.45,25959921325,320605073295.52,1624206537.57
480,3961,23.99,18.17,254375,6269683.75,4157334.4999999995,200459.05000000002,4366849500,53930598883.200005,273215986.2
480,4025,1.79,1.37,299035,535272.65,252228.9,15380.75,3656166150,45153658280.64,228751423.74
480,4028,11.99,7.99,770,10772.3,1538.9,606.0999999999999,2854150,35248757.44,178572.54
480,4042,0.99,0.72,177980,176200.2,81076.05,9152.0,2124914675,26242699914.08,132947256.03
480,4050,11.99,8.72,351945,4228510.55,3252062.0,277444.2,6935584500,85654480579.2,433931272.2
480,4058,15.99,11.84,825,13191.75,11432.85,866.25,18551975,229116923.36,1160721.51
480,4066,21.99,12.85,589545,12067979.549999999,7836106.85,1083501.65,9893910975,122189817665.76001,619021709.91
480,4075,19.99,15.87,178530,3856794.6999999997,3037458.5999999996,328237.8,3636187100,44906916978.56,227501415.96
480,4092,13.99,11.19,59015,634109.85,427397.3,46515.700000000004,1018931550,12583806406.08,63750396.78
480,4102,13.99,10.93,185955,2014440.45,1195150.55,146470.5,2852722925,35231133061.28,178483253.73
480,4160,24.99,15.5,31020,663539.7999999999,465354.44999999995,24457.95,572257075,7067375866.72,35803794.27
480,4179,19.99,15.14,369545,7931924.55,5421362.649999999,679215.35,6531722275,80666781401.44,408663257.79
480,4192,19.99,15.03,9845,183601.55,151663.59999999998,7766.0,211207100,2608408050.56,13214367.96
480,4196,11.99,7.46,577335,6605666.65,3975841.65,454834.05,8843583775,109218274927.84,553307015.19
480,4200,11.99,7.68,119075,1357969.25,878590.9,93831.1,1943676150,24004403816.64,121607899.74
480,4204,11.99,7.74,358655,3979623.45,2326106.75,282600.45,5301583625,65474566944.8,331698493.05
480,4214,11.99,7.57,6380,85406.2,41329.75,5025.35,78489125,969340829.6,4910744.85
480,4216,21.99,16.92,26565,555784.35,435720.44999999995,20952.8,543715575,6714888292.32,34018068.87
480,4221,17.99,12.94,650265,11732642.35,5128962.3,1194870.05,7369415300,91012291710.08,461074298.28000003
480,4222,11.99,7.99,1150050,12608359.5,5712518.350000001,905887.4,12847956225,158672281616.16,803844288.8100001
480,4223,19.99,14.92,742775,15870852.25,9257262.85,1364990.55,11149736975,137699270939.36002,697593627.51
480,4226,13.99,7.68,1429450,16508365.5,8622698.15,1125537.05,19075711525,235585070350.24,1193489571.09
480,4227,17.99,14.17,4133085,72777294.15,9766825.75,7594074.95,14320697625,176860640455.2,895987719.45
480,4228,19.99,14.7,147455,3165425.4499999997,2500347.3,116273.85,3016836550,37257936614.08,188751174.78
480,4229,19.99,14.7,330550,7049234.5,4867869.05,607607.0,5892392675,72771059734.88,368663008.83
480,4232,8.29,6.48,195250,1618622.5,273114.05,205012.5,854817925,10557002853.28,53482475.73
480,4233,9.99,7.87,675785,8425952.15,3343650.75,1241716.3,6899907625,85213871111.2,431699115.45
480,4234,11.99,7.99,395450,4415735.5,2767062.1,311654.75,6247734350,77159530036.16,390895290.06
480,4237,0.99,0.76,195965,194005.35,79388.1,10126.6,2080675350,25696344173.760002,130179381.66
480,4243,19.99,14.49,4237255,91179527.45,18847336.75,7785338.55,22426483625,276967111584.8,1403133733.05
480,4244,12.99,9.84,174020,1852089.8,730433.0,319784.3,1769573000,21854229612.8,110714974.8
480,4245,11.99,7.93,3207600,35391114.0,9237281.35,2525568.1,20468536725,252786463980.96,1280632970.61
480,4246,5.49,4.22,1686630,11615111.2,5266017.9,662770.9,18226601900,225098565011.84,1140364240.44
480,4247,11.99,7.99,647790,7363962.1,4238418.8,510371.95,9395861800,116038909492.48,587860801.68
480,4251,0.99,0.78,278630,275843.7,108301.05,14424.300000000001,2838452175,35054889274.08,177590391.03
480,4252,0.99,0.77,547690,542213.1,167814.9,28420.7,4398245150,54318335215.04,275180284.14
480,4257,0.99,0.77,599115,593123.85,201682.8,31097.0,5285885800,65280698778.880005,330716344.08
480,4258,11.99,7.35,404745,4576352.55,2901814.85,318912.0,6526013975,80596283886.56,408306112.71
480,4259,9.99,7.74,18865,202101.35,48466.55,34661.55,112738925,1392325918.88,7053615.33
480,4267,19.99,15.62,607365,13246066.35,8399074.2,1116229.95,9926733700,122595178376.32,621075294.12
480,4277,5.99,4.68,605330,2551886.7,731920.75,237992.7,4402526375,54371208351.200005,275448142.95
480,4290,13.99,7.87,58465,635985.35,433117.85000000003,46076.8,1017504475,12566182027.36,63661110.51
480,4298,0.99,0.74,645095,638644.05,189486.0,33564.85,4966221000,61332837945.6,310716219.6
480,4304,0.99,0.79,204545,202499.55,96213.15,10517.65,2521641525,31142277198.24,157768839.09
480,4316,9.99,7.24,1320,15826.8,659.45,1039.5,1427075,17624378.72,89286.27
480,4319,9.99,7.29,2255,22527.45,17032.95,1777.05,44239325,546355740.32,2767874.37
480,4320,52.99,36.02,91465,4587515.350000001,3437695.25,72109.40000000001,1776708375,21942351506.4,111161406.15
480,4331,9.99,7.14,3905,39010.950000000004,31868.100000000002,3079.4500000000003,82770350,1022213965.76,5178603.66
480,4357,9.99,7.46,2200,21978.0,20329.65,1736.9,52801775,652102012.64,3303591.99
480,4379,0.99,0.73,319605,316408.95,143257.95,16457.65,3754634325,46369740412.32,234912176.37
480,4383,9.99,7.46,5060,50549.4,38461.5,3988.6,99895250,1233706510.4,6250038.9
480,4404,5.99,4.32,507265,3453547.35,2118775.45,199002.65,7465029325,92193125084.32,467056478.37
480,4450,24.99,18.51,122650,3264563.5,2277523.05,96660.3,2210539175,27300162637.28,138304432.23
480,4535,19.99,14.49,1210,24187.9,8795.599999999999,953.7,11416600,140995029.76,714290.16
480,4670,4.49,2.87,640805,3188514.45,1831199.1500000001,251568.9,9057645025,111861931735.84,566699955.69
480,4881,19.99,14.81,187550,3698964.5,1385520.95,147764.65,1813812325,22400585353.12,113482849.17
480,4903,3.99,2.87,548020,2186599.8000000003,709262.4,115084.2,4612306400,56961992023.04,288573224.64
480,4959,0.99,0.71,966625,956958.75,298113.75,50253.5,7813235625,96493473492.0,488842328.25
480,5181,29.99,23.99,165,4948.349999999999,4948.349999999999,130.35,4281225,52873136.160000004,267858.81
480,5194,12.99,9.62,130900,1914561.0,1311081.75,240603.0,2304726125,28463371632.8,144197326.05
480,5214,12.99,9.69,1045,16709.55,15830.1,1922.25,25687350,317238816.96,1607152.86
480,5230,12.99,9.92,277585,3996054.15,2807578.95,510212.45,5010460325,61879193685.92,313484093.97
480,5231,11.99,8.88,550,8794.5,4397.25,1010.9,7135375,88121893.60000001,446431.35
480,5246,12.99,9.77,197120,2875738.8,2129636.85,362338.9,3757488475,46404989169.76,235090748.91
480,5315,28.99,19.22,639320,16916446.8,9624628.75,503571.2,9383018125,115880290084.0,587057225.25
480,5317,3.29,2.46,240240,790389.6,444232.25,12249.050000000001,3503469125,43267849757.6,219197792.85
480,5318,28.99,18.65,103400,2910006.0,2160292.1999999997,81530.35,1992196700,24603632693.12,124643632.92
480,5529,9.99,5.14,660,4613.400000000001,3075.6,519.2,11416600,140995029.76,714290.16
480,5560,15.99,12.79,187990,3249830.1,2493866.1,345599.1,3707540850,45788135914.56,231965729.46
480,6225,3.99,2.98,464420,1853035.8,897769.9500000001,23879.9,5838163825,72101333343.52,365270130.57
480,6638,24.99,16.23,130350,3257446.5,2262344.6999999997,29016.9,2348965450,29009727373.12,146965200.42
480,6916,14.99,11.1,1375,20611.25,17313.45,288.75,29968575,370111953.12,1875011.67
480,7221,10.49,6.86,801735,8410200.15,4430399.05,179207.6,10958508925,135337604190.88,685629267.33
480,7345,13.99,6.75,1449250,15993697.5,4894640.850000001,162164.2,11349527475,140166683960.16,710093705.3100001
480,7977,10.49,7.49,458040,4804839.6,3182456.2,720230.5,7871745700,97216073019.52,492503065.32
480,7978,7.49,3.95,787215,5711880.35,3718517.0,620188.25,13214714500,163201746947.2,826790860.2
480,7982,7.49,3.95,816090,5930904.1,3672743.25,642843.3,13036330125,160998699607.2,815630076.45
480,7985,9.99,7.46,240075,2398349.25,1773075.1500000001,252078.75,4605171025,56873870129.44,288126793.29
480,7990,9.99,7.68,174790,1746152.1,1278570.1500000001,183529.5,3320803525,41011929281.44,207769150.29
480,8130,1.29,0.93,2564430,3308114.7,810816.6,133955.25,16308613100,201411400012.16,1020363493.5600001
480,8154,21.99,16.05,166045,3730034.55,2575879.3499999996,130874.7,2972597225,36711580873.76,185983300.41
480,8358,19.99,14.49,443575,8867064.25,4806795.399999999,349396.3,6239171900,77053783763.84,390359572.44
480,8368,1.99,1.51,820710,1633212.9,503141.65,85961.15,6560263775,81019268975.84,410448983.19
480,8534,5.99,4.02,292215,1750367.85,825931.15,16650.15,3577677025,44184317451.04,223840678.89000002
480,8617,11.99,7.19,195580,2177914.2,1418963.7,154140.25,3233751950,39936842179.520004,202322687.82
480,8653,5.29,3.53,804155,4253979.95,2643571.7,46144.45,12966403450,160135105049.92,811255049.22
480,8654,5.29,3.55,525800,2781482.0,1917651.45,30364.4,9405851325,116162280143.52,588485805.57
480,8692,74.99,53.95,440,32995.6,28871.149999999998,347.05,9989525,123370651.04,625003.89
480,12191,13.99,6.66,42845,489621.55,297784.85,4755.85,675006475,8336331134.56,42232405.71
480,23205,15.99,10.66,5390,86186.1,60682.05,158.4,98468175,1216082131.68,6160752.63
480,28323,7.49,4.83,7095,53031.55,30786.25,788.15,107030625,1321828404.0,6696470.25
480,29472,8.99,5.88,4840,43511.6,31644.8,726.0,91332800,1127960238.08,5714321.28
480,29473,8.99,5.8,3575,32139.25,22250.25,536.25,64218375,793097042.4,4017882.15
480,40114,13.99,6.66,121550,1311414.5,730772.9,13517.35,1743885650,21536990795.84,109107821.94
480,40175,11.99,8.21,224400,2690556.0,1512118.85,6509.25,3272282975,40412700404.96,204733417.11
516,199,9.99,3.87,880,4391.2,2195.6,692.45,1824824,13030933.44,68083.28
516,5167,31.99,23.01,2860,109146.40000000001,79784.1,2253.9,8667914,61896933.84,323395.58
516,6234,7.99,4.54,553905,5113778.45,2465016.4,124060.75,1095350606,7821817797.36,40866988.82
516,6240,8.99,5.36,74305,649686.95,339730.60000000003,16607.8,161496924,1153237609.44,6025370.28
516,6344,11.99,6.62,37565,400134.35,178416.15,8417.2,70027621,500062070.76,2612695.87
516,6378,11.99,6.62,71610,758558.9,331937.65,16024.800000000001,131615431,939856074.36,4910506.57
516,6429,8.99,5.8,192280,1822812.2,1069096.6,42924.200000000004,464873914,3319630293.84,17344215.580000002
516,6478,8.99,4.72,183975,1762725.25,1016139.3,41059.15,438870172,3133939492.32,16374028.84
516,6547,11.99,6.8,28875,298801.25,166432.75,6446.0,67290385,480515670.6,2510570.95
516,6859,8.99,4.69,257840,2469039.1,1150278.8,57687.85,498176952,3557444829.12,18586735.44
516,6941,9.99,6.2,3575,35549.25,15824.050000000001,398.2,6614987,47237133.72,246801.89
516,7361,12.99,8.6,8250,117287.5,90906.2,1833.15,26459948,188948534.88,987207.56
516,7371,12.99,7.14,47795,566187.05,285262.45,10676.050000000001,100593423,718330205.88,3753090.81
516,7375,5.99,3.97,5005,29979.95,9883.5,558.25,6843090,48866000.4,255312.3
516,8232,8.99,6.24,426470,3629750.3,2152270.45,95227.55,1044939843,7461838261.08,38986188.21
516,8235,8.99,6.24,1320,12526.8,3736.15,296.45,1596721,11402066.76,59572.87
516,8364,9.99,6.49,3355,33516.45,2747.25,377.3,1140515,8144333.4,42552.05
516,8366,8.99,5.84,39655,369698.45,245312.1,4390.1,109033234,778598273.04,4067975.98
516,8630,7.99,5.47,161700,1282963.0,640961.75,17996.55,334170895,2386289686.2,12467750.65
516,8674,8.99,5.22,243320,2089491.8,1301656.4000000001,54282.25,627739456,4482641103.36,23420648.32
516,8678,15.99,9.32,780505,12083449.95,4529426.0,87199.75,1204383840,8600416070.4,44934964.8
516,8790,12.99,8.55,249480,3473120.2,2041184.75,55690.25,605613465,4324641035.4,22595138.55
516,8978,14.99,10.78,171325,2735581.75,1984919.2,77096.25,514600368,3674723230.08,19199484.96
516,10631,8.99,6.2,660,6923.400000000001,5714.5,72.6,2281030,16288666.8,85104.1
516,10715,14.99,9.14,65230,935997.7,621398.8,7226.45,178832752,1277031477.12,6672161.44
516,10874,10.99,7.53,374550,4174494.5,1671546.25,41826.4,621580675,4438661703.0,23190867.25
516,10917,26.99,11.76,110,2528.8999999999996,2528.8999999999996,12.1,456206,3257733.36,17020.82
516,11854,14.99,8.38,123530,1580234.7,1016433.0,13693.9,328468320,2345568019.2,12254990.4
516,11932,32.99,18.29,17105,488806.44999999995,336124.8,1893.65,48814042,348577469.52,1821227.74
516,12140,9.99,5.91,101805,983811.95,518883.75,11317.35,222400425,1588145013.0,8297649.75
516,12224,10.99,6.57,22935,255740.65,176117.15,2538.25,65465561,467484737.16,2442487.67
516,12586,8.99,4.82,368335,3442149.15,2004846.25,82268.45,883899125,6311858385.0,32977838.75
516,13255,15.99,10.52,3740,58372.6,39244.7,413.6,10492738,74927867.28,391478.86
516,13433,19.99,12.33,42845,804331.5499999999,465822.49999999994,4756.95,102646350,732990006.0,3829684.5
516,13505,9.99,5.8,64955,647910.45,357036.9,7216.0,146442126,1045732408.56,5463683.22
516,13565,13.99,5.51,2805,22411.95,7031.2,313.5,3649648,26061866.88,136166.56
516,13779,9.99,6.49,77110,777643.9,432915.45,8570.65,178148443,1272144877.08,6646630.21
516,13837,8.99,5.73,57915,549970.85,323610.10000000003,12920.6,140967654,1006639608.24,5259433.38
516,13993,7.99,5.4,11055,88329.45,15380.75,1240.8000000000002,7983605,57010333.8,297864.35
516,13994,9.99,5.8,71500,743435.0,405508.95,7939.8,162181233,1158124209.48,6050901.51
516,14279,7.99,5.22,249920,2241280.8,1268041.5,27781.600000000002,586224710,4186187367.6,21871753.7
516,14710,15.99,10.38,35255,606187.45,318869.64999999997,3922.6,76870711,548928071.16,2868008.17
516,14711,11.99,6.57,10285,114902.15000000001,58083.85,1145.1000000000001,21213579,151484601.24,791468.13
516,15036,55.99,37.33,550,36074.5,21776.699999999997,60.5,1368618,9773200.08,51062.46
516,15037,60.99,40.66,7700,511973.0,269954.3,856.9,16879622,120536134.32,629770.34
516,15043,22.99,15.75,17600,405944.0,308251.35,1946.45,55429029,395814603.24,2068029.6300000001
516,15300,5.99,4.1,385,2306.15,1317.8,42.9,912412,6515466.72,34041.64
516,15482,8.99,5.96,53735,516215.15,306362.10000000003,11989.45,131843534,941484941.04,4919016.98
516,15620,9.99,6.7,117700,1185668.0,722651.05,13065.25,294024767,2099609150.52,10969918.49
516,15761,3.79,2.49,86075,326224.25,19385.85,2406.8,21213579,151484601.24,791468.13
516,16266,11.99,5.8,330,3296.7,549.45,74.25,228103,1628866.68,8510.41
516,16708,10.99,7.23,2970,37590.299999999996,2747.8,333.85,912412,6515466.72,34041.64
516,16829,13.99,9.52,116435,1649990.65,1033026.5,12913.45,301095960,2150104017.6,11233741.2
516,16830,13.99,9.65,52140,686978.6,338983.7,5811.3,106295998,759051872.88,3965851.06
516,16987,6.79,4.68,1980,13444.2,746.9,222.75000000000003,456206,3257733.36,17020.82
516,17063,15.99,10.66,14575,237949.25,150333.15,1615.9,38093201,272020735.56,1421238.47
516,17171,4.99,3.35,440,2580.6,1592.25,48.95,1140515,8144333.4,42552.05
516,17172,5.99,4.1,1485,8895.15,7247.900000000001,163.9,5018266,35835066.96,187229.02
516,17202,9.99,6.12,76835,768461.65,376973.3,8548.65,158303482,1130433475.92,5906224.54
516,17520,6.49,1.97,1925,5755.75,986.7,216.15,1368618,9773200.08,51062.46
516,17819,6.49,1.97,330,986.7,493.35,36.85,684309,4886600.04,25531.23
516,17967,12.99,8.96,239910,3453910.9,1668535.55,26711.850000000002,478788197,3418991161.32,17863350.59
516,18027,15.99,9.08,346720,5320455.8,2647604.3,38607.25,704838270,5033198041.2,26297166.9
516,18096,31.99,20.94,67650,2159118.5,1524342.5999999999,7481.1,197993404,1413856278.24,7387035.88
516,18142,59.99,40.4,103785,6158577.15,3287867.5500000003,11537.9,230155927,1643526480.12,8587003.69
516,18152,10.99,5.26,731775,7220430.25,2276772.85,81873.55,933625579,6666951321.24,34833108.13
516,18275,11.99,8.21,6655,87878.45,33964.7,743.6,10492738,74927867.28,391478.86
516,18299,7.99,5.51,19800,158202.0,7031.2,2227.5,3649648,26061866.88,136166.56
516,18347,14.99,8.58,561110,8609203.9,3932864.65,62538.3,1057713611,7553054795.16,39462771.17
516,18575,39.99,26.34,33330,1332921.7,872026.65,3694.9,90556891,646660071.96,3378632.77
516,18734,8.99,6.03,34870,324481.3,220972.4,3859.9,98540496,703670405.76,3676497.12
516,18801,12.99,7.14,104335,1219791.65,759835.4500000001,11566.5,269389643,1923691549.08,10050794.21
516,18807,11.99,7.94,55,659.45,659.45,6.05,228103,1628866.68,8510.41
516,18810,6.49,4.33,275,1784.75,1784.75,30.25,1140515,8144333.4,42552.05
516,19000,12.99,6.66,18315,207771.85,158261.4,2024.0,57481956,410474403.36,2144623.32
516,19275,10.99,7.14,2585,28409.149999999998,9671.2,289.3,3649648,26061866.88,136166.56
516,19356,19.99,12.25,44110,824723.8999999999,512931.1,4891.150000000001,113595294,811175606.64,4238184.18
516,20030,7.99,5.19,66550,689392.0,448698.25,7373.85,179060855,1278660343.8,6680671.85
516,21076,9.99,6.07,71005,685029.95,355203.2,7893.05,154197628,1101113875.68,5753037.16
516,21352,82.99,52.62,5665,453803.35,238065.3,630.3000000000001,12317562,87958800.72,459562.14
516,21517,7.79,5.06,25740,200514.6,130248.8,753.5,69343312,495175470.72,2587164.64
516,21798,14.99,10.27,165,2473.35,2473.35,18.15,684309,4886600.04,25531.23
516,22077,9.99,6.07,40040,393179.6,174887.35,4460.5,73677269,526123937.64,2748862.43
516,22079,9.99,4.59,476575,4293893.45,1962742.1,53136.05,880021374,6284167651.44,32833161.78
516,22192,12.99,7.23,103290,1205557.1,635035.5,23075.25,225821970,1612578013.2,8425305.9
516,22194,12.99,7.48,216150,2493958.5,1087061.8,48387.35,393249572,2808166156.32,14671946.84
516,22195,7.99,5.33,660,5933.400000000001,5933.400000000001,72.6,2737236,19546400.16,102124.92
516,22402,28.99,19.33,825,23916.75,11161.15,92.4,1596721,11402066.76,59572.87
516,22404,17.99,12.07,825,14841.75,7915.599999999999,92.4,1824824,13030933.44,68083.28
516,22789,14.99,10.34,5775,86567.25,53589.25,167.75,14826695,105876334.2,553176.65
516,22840,129.99,83.86,1375,206566.25,106857.85,153.45000000000002,2965339,21175266.84,110635.33
516,22841,99.99,64.93,990,103225.1,68303.4,110.0,2737236,19546400.16,102124.92
